type,id,ntags,tagkey,tagvalue
node,338421141,0,,
node,338421142,0,,
node,338421144,0,,
node,338421145,0,,
node,338421146,2,access,permissive
node,338421146,2,entrance,main
node,338421147,0,,
node,338421148,0,,
node,338421149,0,,
node,338421152,0,,
node,338421155,0,,
node,338421161,0,,
node,338421162,0,,
node,338421164,0,,
node,338421166,0,,
node,338421167,0,,
node,338421168,0,,
node,338421169,0,,
node,338421170,0,,
node,338421171,0,,
node,338421172,0,,
node,338421173,0,,
node,338421174,0,,
node,338421175,0,,
node,338421176,0,,
node,338421177,0,,
node,338421178,0,,
node,338421179,0,,
node,338421180,0,,
node,338424132,0,,
node,338424133,0,,
node,338424134,0,,
node,338424135,0,,
node,340154911,0,,
node,340154912,0,,
node,340154913,0,,
node,340154914,0,,
node,344393649,1,amenity,bicycle_parking
node,351982074,0,,
node,351982131,0,,
node,351982132,0,,
node,351982133,0,,
node,351982134,0,,
node,351982136,0,,
node,351982137,0,,
node,351982138,0,,
node,351982139,0,,
node,351982140,0,,
node,351982141,0,,
node,351982224,0,,
node,351982225,0,,
node,351982226,0,,
node,351982229,0,,
node,351982230,0,,
node,351982233,0,,
node,351982234,0,,
node,351982235,0,,
node,359378341,0,,
node,359381955,0,,
node,359381996,0,,
node,359382172,0,,
node,359382388,0,,
node,369134157,0,,
node,369135831,0,,
node,386834587,0,,
node,386834589,0,,
node,386834591,0,,
node,386834593,0,,
node,386834596,0,,
node,386834598,0,,
node,386835809,0,,
node,386835810,0,,
node,386835811,0,,
node,386835812,0,,
node,393731839,0,,
node,427518891,2,fixme,"Invalid white space in property key, and needs immediate fix"
node,427518891,2,street signs,Jeepney Stop
node,427518893,0,,
node,427518894,0,,
node,427518896,0,,
node,427518897,0,,
node,427518898,0,,
node,427518899,0,,
node,427518900,0,,
node,427518901,0,,
node,427518902,0,,
node,427518903,0,,
node,427518904,0,,
node,427518905,0,,
node,427518906,0,,
node,427518907,0,,
node,427518908,0,,
node,427518915,0,,
node,427518921,0,,
node,427518922,0,,
node,427518923,0,,
node,427518924,0,,
node,427518925,0,,
node,427518926,0,,
node,427518927,0,,
node,427518928,0,,
node,429457516,1,barrier,gate
node,429457653,0,,
node,429457991,0,,
node,429457992,0,,
node,429457993,0,,
node,429457995,0,,
node,429457996,0,,
node,429457997,0,,
node,429457998,0,,
node,429457999,0,,
node,429458000,0,,
node,429458002,0,,
node,429458049,0,,
node,429458051,0,,
node,429458053,0,,
node,429458059,0,,
node,429458061,0,,
node,429458062,0,,
node,430174918,0,,
node,430174922,0,,
node,430174926,0,,
node,430174929,0,,
node,430582287,0,,
node,430582288,0,,
node,430582289,0,,
node,430582290,0,,
node,430582291,0,,
node,430582292,0,,
node,430582327,0,,
node,430582328,0,,
node,430582332,0,,
node,430582334,0,,
node,430582474,0,,
node,430582475,0,,
node,430582476,0,,
node,430582477,0,,
node,430582478,0,,
node,430582479,0,,
node,430582480,0,,
node,430582481,0,,
node,433034938,0,,
node,433034952,0,,
node,433034964,0,,
node,433034980,0,,
node,433034994,0,,
node,433035005,0,,
node,433035006,0,,
node,433035016,0,,
node,433035017,0,,
node,433035018,0,,
node,433035022,0,,
node,433035033,0,,
node,433035046,0,,
node,433035062,0,,
node,433035077,0,,
node,433035090,0,,
node,433035099,0,,
node,433035117,0,,
node,433035118,0,,
node,433035119,0,,
node,433035146,0,,
node,433035156,0,,
node,433035161,0,,
node,433035174,0,,
node,433035183,0,,
node,433035194,0,,
node,433035207,0,,
node,433035217,0,,
node,433035232,0,,
node,433035244,0,,
node,433035255,0,,
node,433035277,0,,
node,433035295,0,,
node,433035304,0,,
node,433035341,0,,
node,433035369,0,,
node,433035384,0,,
node,433035388,0,,
node,433035400,0,,
node,433035414,0,,
node,433035426,0,,
node,433035436,0,,
node,433035457,0,,
node,433035513,0,,
node,433035539,0,,
node,433035543,0,,
node,433035557,0,,
node,433035584,0,,
node,433035599,0,,
node,433035606,0,,
node,433035619,0,,
node,433035646,0,,
node,433035669,0,,
node,433035737,0,,
node,433035831,0,,
node,433035857,0,,
node,433035885,0,,
node,433035930,0,,
node,433035963,0,,
node,433035991,0,,
node,433036052,0,,
node,433036074,0,,
node,433036089,0,,
node,433036125,0,,
node,433036624,0,,
node,433036726,0,,
node,433036736,0,,
node,433036747,0,,
node,433036754,0,,
node,433036763,0,,
node,433036771,0,,
node,433178848,1,barrier,gate
node,433178870,5,access,no
node,433178870,5,barrier,swing_gate
node,433178870,5,bicycle,yes
node,433178870,5,foot,yes
node,433178870,5,swing_gate:type,single
node,433178879,0,,
node,433178891,0,,
node,433178923,1,barrier,gate
node,433181376,0,,
node,433181384,0,,
node,433181385,0,,
node,447749375,1,amenity,parking
node,493411017,0,,
node,493411021,0,,
node,493411024,0,,
node,493411028,0,,
node,493411030,0,,
node,493411032,0,,
node,493411037,0,,
node,493411042,0,,
node,493411046,0,,
node,493411049,0,,
node,493411057,0,,
node,493411062,0,,
node,493411065,0,,
node,493973745,0,,
node,493973746,0,,
node,493973749,0,,
node,493973750,0,,
node,493973751,0,,
node,493973752,0,,
node,493973755,0,,
node,493973756,0,,
node,493973758,0,,
node,493973759,0,,
node,493973760,0,,
node,493973761,0,,
node,493973762,0,,
node,493973763,0,,
node,493973764,0,,
node,493973765,0,,
node,493973766,0,,
node,493973767,0,,
node,493973768,0,,
node,493974349,0,,
node,493974350,0,,
node,493974351,0,,
node,493974352,0,,
node,493974353,0,,
node,493974354,0,,
node,493974355,0,,
node,493974356,0,,
node,493974357,0,,
node,493974358,0,,
node,493974359,0,,
node,493974360,0,,
node,493976649,0,,
node,493976650,0,,
node,493976651,0,,
node,493976652,0,,
node,493976653,0,,
node,493976654,0,,
node,493976655,0,,
node,493976656,0,,
node,493984475,0,,
node,493984481,0,,
node,493984486,0,,
node,493984500,0,,
node,493984518,0,,
node,493984537,0,,
node,493984549,0,,
node,493984555,0,,
node,493984563,0,,
node,493984582,0,,
node,493984588,0,,
node,493984599,0,,
node,493984605,0,,
node,493984738,0,,
node,493984741,0,,
node,493984743,0,,
node,493984749,0,,
node,493984751,0,,
node,493984754,0,,
node,493984756,0,,
node,493984759,0,,
node,493984761,0,,
node,493984763,0,,
node,493984766,0,,
node,493984767,0,,
node,493984769,0,,
node,493984771,0,,
node,493984773,0,,
node,493984775,0,,
node,493984778,0,,
node,493984780,0,,
node,493984782,0,,
node,493984784,0,,
node,493984793,0,,
node,493984796,0,,
node,493984798,0,,
node,508308275,0,,
node,508308278,0,,
node,508308318,0,,
node,508308583,0,,
node,508423931,0,,
node,508423949,0,,
node,512022309,0,,
node,512022310,0,,
node,512022311,0,,
node,512022312,0,,
node,598946209,1,barrier,gate
node,598946210,0,,
node,598946211,0,,
node,598946212,0,,
node,598946213,0,,
node,598946218,0,,
node,598946219,0,,
node,598946220,0,,
node,598946221,0,,
node,598946222,0,,
node,598946223,0,,
node,598946224,0,,
node,598946225,0,,
node,598946226,0,,
node,598946227,0,,
node,598946228,0,,
node,598946229,0,,
node,598946230,0,,
node,598946231,0,,
node,598946232,0,,
node,598946233,0,,
node,598946234,0,,
node,598946235,0,,
node,598946236,0,,
node,598946237,0,,
node,598946238,0,,
node,598946239,0,,
node,602922027,0,,
node,602922028,0,,
node,602922029,0,,
node,602922030,0,,
node,602922031,0,,
node,602922032,0,,
node,602922033,0,,
node,602922034,0,,
node,602922035,0,,
node,602922036,0,,
node,602922037,0,,
node,602922038,0,,
node,602922040,0,,
node,602922041,0,,
node,606282212,0,,
node,606282216,0,,
node,606282217,0,,
node,606282219,0,,
node,606282221,0,,
node,606282223,0,,
node,606282224,0,,
node,606282227,0,,
node,614168671,0,,
node,614168672,0,,
node,614168674,0,,
node,628598230,0,,
node,628598456,0,,
node,628600387,0,,
node,628601116,0,,
node,628601122,0,,
node,628601823,0,,
node,628601833,0,,
